,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
10,"Jennifer Tilly, Gina Gershon, Joe Pantoliano, John P. Ryan",8 wins & 13 nominations.,N/A,USA,19 Jun 2001,"Lana Wachowski, Lilly Wachowski","Crime, Romance, Thriller","English, Italian",61,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.",https://m.media-amazon.com/images/M/MV5BNjcwN2RhYWYtOWY1NC00M2JkLTllYWItYzZhOTg4NjZmMDcwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Republic Pictures Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",04 Oct 1996,True,109 min,Bound,movie,N/A,"Lilly Wachowski, Lana Wachowski",1996,tt0115736,7.4,"46,696",
11,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith",Nominated for 1 Oscar. Another 3 wins & 7 nominations.,N/A,USA,01 Dec 1998,Hugh Wilson,Comedy,English,58,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",https://m.media-amazon.com/images/M/MV5BMzAwZTA3Y2UtMWVlMi00ZmNiLTkzZjAtYjA2YzBhMGMyYzQ2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",20 Sep 1996,True,103 min,The First Wives Club,movie,N/A,"Olivia Goldsmith (novel), Robert Harling (screenplay)",1996,tt0116313,6.3,"38,061",
12,"Pete Postlethwaite, Tara Fitzgerald, Ewan McGregor, Stephen Tompkinson",Nominated for 1 BAFTA Film Award. Another 10 wins & 6 nominations.,N/A,"UK, USA",25 Feb 1998,Mark Herman,"Comedy, Drama, Romance",English,60,"The coal mine in a northern English village may be closing, which would also mean the end of the miners' brass band.",https://m.media-amazon.com/images/M/MV5BY2Y5NDU2MmYtOGZiYy00MTAyLTgyYTctZGU2YjQ0YzQ3NDllXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_SX300.jpg,Miramax Films,R,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",23 May 1997,True,103 min,Brassed Off,movie,N/A,Mark Herman,1996,tt0115744,7.1,"17,376",
13,"Denzel Washington, Whitney Houston, Courtney B. Vance, Gregory Hines",Nominated for 1 Oscar. Another 2 wins & 5 nominations.,N/A,USA,13 Aug 2002,Penny Marshall,"Comedy, Drama, Fantasy, Romance",English,N/A,An angel comes to Earth to help a preacher save his church and his family.,https://m.media-amazon.com/images/M/MV5BOWFiMGMzYmYtMGZjNy00ZWVkLTllMjAtMTQ2NmU1OWVhMjkxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Disney,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}]",13 Dec 1996,True,123 min,The Preacher's Wife,movie,N/A,"Robert Nathan (novel), Robert E. Sherwood (earlier screenplay), Leonardo Bercovici (earlier screenplay), Nat Mauldin (screenplay), Allan Scott (screenplay)",1996,tt0117372,5.5,"10,148",
14,"Coline Serreau, Vincent Lindon, James Thierrée, Samuel Tasinaje",N/A,N/A,France,07 Apr 2009,Coline Serreau,Comedy,French,N/A,"The ""Green Planet"" belongs to another solar system. Through the simplicity of their lifestyle those who live there are a real step ahead of us: they spend their time concentrating their ...",https://m.media-amazon.com/images/M/MV5BYWRkMDRhODQtYjE1YS00ZGQ2LTk4OGQtNmEwMTBjOGYxYjZkXkEyXkFqcGdeQXVyMTY0MTAxMjY@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",18 Sep 1996,True,99 min,La belle verte,movie,N/A,Coline Serreau,1996,tt0115650,7.2,"3,610",
15,"Imogen Stubbs, Steven Mackintosh, Nicholas Farrell, Sidney Livingstone",1 win & 2 nominations.,N/A,"Ireland, UK, USA",30 Aug 2005,Trevor Nunn,"Comedy, Drama, Romance",English,N/A,"Shakespeare's comedy of gender confusion, in which a girl disguises herself as a man to be near the count she adores, only to be pursued by the woman he loves.",https://m.media-amazon.com/images/M/MV5BM2UxYTEwZWUtZTNkMC00NGU1LWE1MTctZmM0ZTdlOGRjODk5XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,New Line Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",25 Oct 1996,True,134 min,Twelfth Night or What You Will,movie,N/A,"William Shakespeare (by), Trevor Nunn (screenplay)",1996,tt0117991,7.3,"5,260",
16,"Meryl Streep, Leonardo DiCaprio, Diane Keaton, Robert De Niro",Nominated for 1 Oscar. Another 4 wins & 12 nominations.,N/A,USA,15 Jan 2002,Jerry Zaks,Drama,English,68,A leukemia patient attempts to end a twenty-year feud with her sister to get her bone marrow.,https://m.media-amazon.com/images/M/MV5BOTk0ZDk3YWItZDZlOC00Y2FiLTgxNzYtODZmYzdkYWVmNmRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",28 Feb 1997,True,98 min,Marvin's Room,movie,N/A,"Scott McPherson (play), Scott McPherson (screenplay)",1996,tt0116999,6.7,"23,319",
17,"Carlo Cecchi, Sinéad Cusack, Joseph Fiennes, Jason Flemyng",3 wins & 11 nominations.,N/A,"Italy, France, UK",08 Jan 2002,Bernardo Bertolucci,"Drama, Mystery, Romance","English, French, German, Spanish, Italian",60,"After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself.",https://m.media-amazon.com/images/M/MV5BZDgwMWU1ZTctYzkxMi00NDVmLThkZWYtYWEyYmQ0N2NmZWY5XkEyXkFqcGdeQXVyMTE2OTg4Mjg@._V1_SX300.jpg,Fox Searchlight Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",14 Jun 1996,True,118 min,Stealing Beauty,movie,N/A,"Bernardo Bertolucci (story), Susan Minot",1996,tt0117737,6.6,"23,639",
18,"Kevin Bacon, Billy Crudup, Robert De Niro, Ron Eldard",Nominated for 1 Oscar. Another 1 win & 4 nominations.,N/A,USA,25 Sep 1997,Barry Levinson,"Crime, Drama, Thriller",English,49,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, they get their chance for revenge.",https://m.media-amazon.com/images/M/MV5BMTc4OTUzNzc0MV5BMl5BanBnXkFtZTgwMjE4ODYxMTE@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",18 Oct 1996,True,147 min,Sleepers,movie,N/A,"Lorenzo Carcaterra (book), Barry Levinson (screenplay)",1996,tt0117665,7.6,"173,506",
19,"Martin Burke, Lainie Frasier, Bill Wise, Edwin Neal",N/A,N/A,Japan,13 Jan 2004,"Kazunori Ikegami, Gary Lipkowitz","Animation, Action, Adventure","Japanese, English",N/A,"What's blue and wears running shoes? Whoops! Ya missed him, as he's off to save the planet on a quest by the nefarious Dr. Robotnik, which turns out to be much of a trap. Smells fishy!",https://m.media-amazon.com/images/M/MV5BMTM2NjQxMzE0MV5BMl5BanBnXkFtZTcwODQ0OTQyMQ@@._V1_SX300.jpg,ADV Films,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",31 May 1996,True,60 min,Sonic the Hedgehog: The Movie,movie,N/A,"Masashi Kubota (original story), Jennifer Presto (ADR script: English version), Gary Lipkowitz (ADR script: English version)",1996,tt0237765,6.6,"1,216",
20,"William Baldwin, Angela Jones, Bruce Ramsay, Lois Chiles",2 nominations.,N/A,USA,02 Mar 2004,Reb Braddock,"Comedy, Crime, Thriller","English, Spanish",N/A,"After getting interested in murder as a kid in Colombia, Gabriela now has a scrapbook on murders including clippings on ""The Blue Blood Killer"". While cleaning his latest murder scene in Miami, she comes across a clue missed by the cops.",https://m.media-amazon.com/images/M/MV5BNmMwZWFmZmQtOGY2ZC00M2RjLTgzYzAtNTBmZTJkNWUxNGRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax,R,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",27 Sep 1996,True,88 min,Curdled,movie,N/A,"Reb Braddock, John Maass, Reb Braddock, John Maass, Quentin Tarantino (Gecko Brothers news report)",1996,tt0115994,5.9,"4,605",
21,"Matt Day, Matthew Dyktynski, Alice Garner, Frances O'Connor",1 win & 5 nominations.,N/A,Australia,05 Aug 1997,Emma-Kate Croghan,"Comedy, Romance",English,58,A day in the life of two film-school students trying to find love and another house-mate.,https://m.media-amazon.com/images/M/MV5BMTg5NjkxNDk1OV5BMl5BanBnXkFtZTcwMzA2NDMyMQ@@._V1_SX300.jpg,Twentieth Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",28 Mar 1997,True,78 min,Love and Other Catastrophes,movie,N/A,"Stavros Kazantzidis (story), Yael Bergman (screenplay), Emma-Kate Croghan (screenplay), Helen Bandis (screenplay)",1996,tt0116931,6.3,"1,814",
22,"Sylvie Testud, Tatjana Trieb, Howie Seago, Emmanuelle Laborit",Nominated for 1 Oscar. Another 12 wins & 5 nominations.,N/A,Germany,08 Apr 2003,Caroline Link,"Drama, Music","German, German Sign Language, English, Spanish",N/A,Since the earliest days in her childhood Lara has had a difficult but important task. Both her parents are deaf-mute and Lara has to translate from sign-language to the spoken word and vice...,https://m.media-amazon.com/images/M/MV5BZDQ1YjJkYjgtMDJlZC00ZDA3LTk3YzEtYjUyZjE3MjEzNDVkXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg,Miramax,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",05 Jun 1998,True,109 min,Beyond Silence,movie,N/A,"Caroline Link, Beth Serlin",1996,tt0116692,7.5,"3,784",
23,"Marc Anthony, Tony Shalhoub, Stanley Tucci, Larry Block",9 wins & 17 nominations.,N/A,USA,01 Jan 1998,"Campbell Scott, Stanley Tucci","Drama, Romance","English, Italian",80,"New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredible food.",https://m.media-amazon.com/images/M/MV5BNTlhODIzNzEtNjE3ZC00NjBjLWE3ZTQtN2U1YjQ0ZGUxODc1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Samuel Goldwyn Films,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",20 Sep 1996,True,109 min,Big Night,movie,N/A,"Stanley Tucci, Joseph Tropiano",1996,tt0115678,7.3,"15,043",
24,"Kurt Russell, Steve Buscemi, Peter Fonda, Cliff Robertson",2 nominations.,N/A,USA,15 Dec 1998,John Carpenter,"Action, Adventure, Sci-Fi, Thriller",English,54,"Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported.",https://m.media-amazon.com/images/M/MV5BOWUzNTRmNTQtNWMwZS00MTg4LThhMDUtYmQ5OGQ5MmNmYzNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",09 Aug 1996,True,101 min,Escape from L.A.,movie,N/A,"John Carpenter (characters), Nick Castle (characters), John Carpenter, Debra Hill, Kurt Russell",1996,tt0116225,5.7,"63,561",
25,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz",Nominated for 2 Oscars. Another 10 wins & 15 nominations.,N/A,USA,06 Jun 2000,Jan de Bont,"Action, Adventure, Drama, Thriller",English,68,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",https://m.media-amazon.com/images/M/MV5BODExYTM0MzEtZGY2Yy00N2ExLTkwZjItNGYzYTRmMWZlOGEzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",10 May 1996,True,113 min,Twister,movie,http://movies.warnerbros.com/twister/,"Michael Crichton, Anne-Marie Martin",1996,tt0117998,6.3,"160,760",
26,"Tilda Swinton, Amy Madigan, Karen Sillas, Frances Fisher",2 nominations.,N/A,"Germany, USA",27 Nov 2001,Susan Streitfeld,"Drama, Fantasy, Thriller",English,N/A,"An ambitious female attorney wallows in excess and meaningless sex with both male and female partners, while dealing with her personal life problems including helping her kleptomaniac sister.",https://m.media-amazon.com/images/M/MV5BMTI2OTk1NDA3NF5BMl5BanBnXkFtZTYwNTY1MTA5._V1_SX300.jpg,Trimark,R,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}]",25 Apr 1997,True,120 min,Female Perversions,movie,N/A,"Louise J. Kaplan (book), Julie Hébert (screenplay), Susan Streitfeld (screenplay)",1996,tt0116293,5.5,"2,172",
27,"Simon Callow, Richard Dreyfuss, Jane Leeves, Joanna Lumley",Nominated for 1 Oscar. Another 4 wins & 9 nominations.,N/A,"UK, USA",03 Oct 2000,Henry Selick,"Animation, Adventure, Family, Fantasy, Musical",English,N/A,"An orphan, who lives with his two cruel aunts, befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.",https://m.media-amazon.com/images/M/MV5BMTNkNWIwNGUtNTJlOC00NDU3LTk0NWEtNjNjNDM4NzRiNThkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",12 Apr 1996,True,79 min,James and the Giant Peach,movie,N/A,"Roald Dahl (based on the book by), Karey Kirkpatrick (screenplay), Jonathan Roberts (screenplay), Steve Bloom (screenplay)",1996,tt0116683,6.7,"55,808",
28,"Ana Belén, Victoria Abril, Ariadna Gil, Blanca Apilánez",2 wins & 7 nominations.,N/A,"Spain, Italy, Belgium",21 Dec 2004,Vicente Aranda,"Drama, History, War",Spanish,N/A,"At the outbreak of the Spanish Civil War, the nun Maria is forced to flee her convent. She takes refuge in a brothel, until it is liberated by a woman's anarchist group. Maria joins the ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExOTQyN2ItMmZjMC00NGM1LWE0MTktZmI3MTQ0YTRmYjJjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",22 Jan 1997,True,125 min,Libertarias,movie,N/A,"Vicente Aranda (screenplay), Vicente Aranda (story), José Luis Guarner (story), Román Gubern (story), Antonio Rabinad",1996,tt0113649,7.1,"1,517",
29,"Garance Clavel, Zinedine Soualem, Renée Le Calm, Olivier Py",1 win & 4 nominations.,N/A,France,06 Jan 1998,Cédric Klapisch,"Comedy, Romance",French,N/A,"Chloe, a young woman, is going on holidays. She entrusts her beloved cat to Madame Renée's care. But one day Madame Renée (an old lady of the neighborhood) can not find the cat. Chloe ...",https://m.media-amazon.com/images/M/MV5BMTI0OTEyOTY1M15BMl5BanBnXkFtZTYwNzk0NDg5._V1_SX300.jpg,Sony Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",20 Jun 1997,True,91 min,When the Cat's Away,movie,N/A,Cédric Klapisch,1996,tt0115856,6.8,"3,066",
30,"Nick Nolte, Anthony J. Robinow, Michael McGill, Shimon Aviel",N/A,N/A,USA,22 Aug 2000,Keith Gordon,"Drama, Romance, War","English, German, Yiddish",N/A,"An American spy behind the lines during WWII serves as a Nazi propagandist, a role he cannot escape in his future life as he can never reveal his real role in the war.",https://m.media-amazon.com/images/M/MV5BMDA0OGI4ODctMzRkOC00NzI0LWEyZmYtODU1NmM5MzYxOWYwXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,New Line Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",01 Nov 1996,True,114 min,Mother Night,movie,N/A,"Kurt Vonnegut Jr. (novel), Robert B. Weide (screenplay)",1996,tt0117093,7.2,"4,648",
31,"Whoopi Goldberg, Dianne Wiest, Eli Wallach, Tim Daly",N/A,N/A,USA,15 May 2001,Donald Petrie,Comedy,English,N/A,A comedy about making it on Wall Street. Prejudices are hard to break and Laurel Ayres quickly learns that in order for people to take her seriously she has to work for an older white man or be one.,https://m.media-amazon.com/images/M/MV5BOTM1YmU1MjEtOTgyYS00ZjQ1LWJiYWQtMTg0NTAyZDMzN2U1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Hollywood Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}]",25 Oct 1996,True,114 min,The Associate,movie,N/A,"Jenaro Prieto (novel), Jean-Claude Carrière (screenplay ""L'Associé""), René Gainville (screenplay ""L'Associé""), Nick Thiel (screenplay)",1996,tt0115580,6.1,"6,968",
