,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
10,"Kate Winslet, Judy Davis, Liam Hemsworth, Hugo Weaving",15 wins & 38 nominations.,"$2,021,399",Australia,27 Dec 2016,Jocelyn Moorhouse,,,"Comedy, Drama",English,47,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.",https://m.media-amazon.com/images/M/MV5BMjA4MzAxNTc5OF5BMl5BanBnXkFtZTgwMjgzMDE4OTE@._V1_SX300.jpg,Amazon Studios &amp; Broad Green Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",29 Oct 2015,True,119 min,,The Dressmaker,movie,http://www.dressmakermovie.com.au,"Rosalie Ham (based on the novel by), Jocelyn Moorhouse, P.J. Hogan",2015,tt2910904,7.1,"45,719",,
11,"Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley",4 nominations.,"$26,863,875",USA,11 Aug 2015,Anne Fletcher,,,"Action, Comedy, Crime","English, Spanish",31,An uptight and by-the-book cop tries to protect the outgoing widow of a drug boss as they race through Texas pursued by crooked cops and murderous gunmen.,https://m.media-amazon.com/images/M/MV5BNzc0MDk0NDMwM15BMl5BanBnXkFtZTgwNTIzMjE1NTE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",08 May 2015,True,87 min,,Hot Pursuit,movie,http://www.facebook.com/HotPursuitMovie,"David Feeney, John Quaintance",2015,tt2967224,5.1,"44,279",,
12,"Jonah Hill, James Franco, Felicity Jones, Maria Dizzia",4 nominations.,"$3,422,747",USA,04 Aug 2015,Rupert Goold,,,"Crime, Drama, Mystery, Thriller","English, Ibo",50,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.,https://m.media-amazon.com/images/M/MV5BZWM2ODc1MGYtYjNkMC00MTQ0LTk1ZWYtYWVjYTg3MzhiZWFlXkEyXkFqcGdeQXVyNTUzOTUwMTk@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",17 Apr 2015,True,99 min,,True Story,movie,http://www.foxsearchlight.com/truestory/,"Rupert Goold (screenplay by), David Kajganich (screenplay by), Michael Finkel (based on the book by)",2015,tt2273657,6.3,"50,703",,
13,"Chiwetel Ejiofor, Margot Robbie, Chris Pine",3 nominations.,"$118,483","Iceland, Switzerland, USA",20 Oct 2015,Craig Zobel,,,"Drama, Sci-Fi, Thriller",English,68,"In the wake of a disaster that wipes out most of civilization, two men and a young woman find themselves in an emotionally charged love triangle as the last known survivors.",https://m.media-amazon.com/images/M/MV5BMTUwMTUwODUzNV5BMl5BanBnXkFtZTgwMDIxMDE5NTE@._V1_SX300.jpg,Roadside Attractions,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",28 Aug 2015,True,98 min,,Z for Zachariah,movie,N/A,"Nissar Modi (screenplay), Robert C. O'Brien (novel)",2015,tt1598642,6.0,"24,950",,
14,"Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar",6 nominations.,"$19,980","Canada, USA",30 May 2017,Oz Perkins,,,"Horror, Thriller",English,68,Two girls must battle a mysterious evil force when they get left behind at their boarding school over winter break.,https://m.media-amazon.com/images/M/MV5BMTY2NTQ3NTEzNF5BMl5BanBnXkFtZTgwMzA0MzY1OTE@._V1_SX300.jpg,A24 and DIRECTV,R,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",16 Feb 2017,True,93 min,,The Blackcoat's Daughter,movie,http://theblackcoatsdaughter-movie.com/,Oz Perkins,2015,tt3286052,5.9,"12,337",,
15,"Salma Hayek, Shohreh Aghdashloo, Adrien Brody, Gabriella Wright",1 nomination.,N/A,USA,02 Aug 2016,Wayne Blair,,,Thriller,English,16,Prior to the Iranian revolution it was a place where people of all religions were allowed to flourish. This is the story of a prosperous Jewish family who abandon everything before they are consumed by the passions of revolutionaries.,https://m.media-amazon.com/images/M/MV5BMTg0NjYyMDI1NF5BMl5BanBnXkFtZTgwMzI0ODIyOTE@._V1_SX300.jpg,Millennium Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '16/100'}]",24 Jun 2016,True,110 min,,Septembers of Shiraz,movie,http://septembersofshiraz.film/,"Dalia Sofer (novel), Hanna Weg",2015,tt3661298,6.0,"3,295",,
16,"Munro Chambers, Laurence Leboeuf, Michael Ironside, Edwin Wright",21 wins & 14 nominations.,N/A,"Canada, New Zealand, USA",N/A,"François Simard, Anouk Whissell, Yoann-Karl Whissell",,,"Action, Adventure, Comedy, Horror, Sci-Fi",English,60,"In a post-apocalyptic wasteland in 1997, a comic book fan adopts the persona of his favourite hero to save his enthusiastic friend and fight a tyrannical overlord.",https://m.media-amazon.com/images/M/MV5BMTY1NjkwNDQ0NF5BMl5BanBnXkFtZTgwMTkyOTE2NjE@._V1_SX300.jpg,Epic Pictures Releasing,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",28 Aug 2015,True,93 min,,Turbo Kid,movie,http://www.turbo-kid.com/,"Anouk Whissell, François Simard, Yoann-Karl Whissell",2015,tt3672742,6.7,"23,651",,
17,"Hugh Jackman, Levi Miller, Garrett Hedlund, Rooney Mara",8 nominations.,"$35,914,825","USA, UK, Australia",22 Dec 2015,Joe Wright,,,"Adventure, Comedy, Family, Fantasy",English,36,"Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.",https://m.media-amazon.com/images/M/MV5BMzk2MDg5MDczMl5BMl5BanBnXkFtZTgwNTE2NjYyNjE@._V1_SX300.jpg,Warner Bros.,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",09 Oct 2015,True,111 min,,Pan,movie,http://www.panmovie.com/,"Jason Fuchs, J.M. Barrie (characters)",2015,tt3332064,5.8,"55,313",,
18,"Will Smith, Margot Robbie, Adrian Martinez, Gerald McRaney",3 nominations.,"$50,265,541","USA, Argentina",02 Jun 2015,"Glenn Ficarra, John Requa",,,"Comedy, Crime, Drama, Romance","English, Spanish",56,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",https://m.media-amazon.com/images/M/MV5BMTUwODg2OTA4OF5BMl5BanBnXkFtZTgwOTE5MTE4MzE@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",27 Feb 2015,True,105 min,,Focus,movie,http://focusmovie.com/,"Glenn Ficarra, John Requa",2015,tt2381941,6.6,"190,145",,
19,"Lola Kirke, Shana Dowdeswell, Shelby Rebecca Wong, Alfred Macadam",2 wins & 13 nominations.,N/A,"USA, Brazil",N/A,Noah Baumbach,,,"Comedy, Drama",English,75,"A lonely college freshman's life is turned upside-down by her impetuous, adventurous stepsister-to-be.",https://m.media-amazon.com/images/M/MV5BMjEzNzgzNDgzNV5BMl5BanBnXkFtZTgwODcyMjk4NTE@._V1_SX300.jpg,Fox Searchlight Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",04 Sep 2015,True,84 min,,Mistress America,movie,http://www.mistressamericathemovie.com/,"Noah Baumbach, Greta Gerwig",2015,tt2872462,6.7,"22,240",,
20,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",Nominated for 1 Oscar. Another 7 wins & 20 nominations.,"$42,581,369",USA,03 May 2016,David O. Russell,,,Drama,"English, Spanish, French",56,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",https://m.media-amazon.com/images/M/MV5BNzRiOWZmMzUtZTJiOC00MjQ1LTkwMjgtNzhlYzBmODAzYTA0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",25 Dec 2015,True,124 min,,Joy,movie,http://www.joymovie.com,"David O. Russell (screenplay), Annie Mumolo (story), David O. Russell (story)",2015,tt2446980,6.6,"116,608",,
21,"Vincent Lindon, Karine de Mirbeck, Matthieu Schaller, Yves Ory",7 wins & 12 nominations.,N/A,France,N/A,Stéphane Brizé,,,Drama,French,74,An unemployed factory worker is trying to make ends meet in working-class France.,https://m.media-amazon.com/images/M/MV5BMjA5ODYyMTExOF5BMl5BanBnXkFtZTgwNDYwMjUzODE@._V1_SX300.jpg,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '74/100'}]",15 Apr 2016,True,91 min,,The Measure of a Man,movie,N/A,"Stéphane Brizé (screenplay), Olivier Gorce (screenplay)",2015,tt4428814,6.8,"4,945",,
22,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm",1 win & 7 nominations.,"$60,886,513",USA,19 Jan 2016,Nancy Meyers,,,"Comedy, Drama",English,51,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",https://m.media-amazon.com/images/M/MV5BMTUyNjE5NjI5OF5BMl5BanBnXkFtZTgwNzYzMzU3NjE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",25 Sep 2015,True,121 min,,The Intern,movie,http://www.theinternmovie.com/,Nancy Meyers,2015,tt2361509,7.1,"188,535",,
23,"Kane Hodder, Bill Moseley, Danielle Guldin, Allie Marshall",N/A,N/A,USA,15 Jul 2015,Tom DeNucci,,,Horror,English,N/A,Jackson and Emily aren't like the other kids. Two burgeoning sociopaths on the brink of total meltdown. Ticking time bombs seeking revenge. Who will unravel first?,https://m.media-amazon.com/images/M/MV5BMTk4MjE3MzY5N15BMl5BanBnXkFtZTgwMjM5NTg2NTE@._V1_SX300.jpg,Woodhaven Production Company,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",26 May 2015,True,85 min,,Almost Mercy,movie,http://almostmercymovie.com/,"Tom DeNucci, B. Dolan",2015,tt3480446,6.0,905,,
24,"Malin Buska, Sarah Gadon, Michael Nyqvist, Lucas Bryant",3 wins & 2 nominations.,N/A,"Finland, Germany, Canada, Sweden, France",08 Dec 2015,Mika Kaurismäki,,,"Biography, Drama, History, Romance","English, French, German, Latin",37,"THE GIRL KING paints a portrait of the brilliant, extravagant Kristina of Sweden, queen from age six, who fights the conservative forces that are against her ideas to modernize Sweden and who have no tolerance for her awakening sexuality.",https://m.media-amazon.com/images/M/MV5BMGRkNTcwYzQtNTczNi00MWExLWE3MWMtYTJjMmE2MDBlNTdmXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",11 Dec 2015,True,106 min,,The Girl King,movie,N/A,Michel Marc Bouchard,2015,tt1254322,5.9,"2,988",,
25,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",1 win & 4 nominations.,N/A,USA,22 Mar 2016,Sean Anders,,,Comedy,English,42,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",https://m.media-amazon.com/images/M/MV5BMTQ0OTE1MTk4N15BMl5BanBnXkFtZTgwMDM5OTk5NjE@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",25 Dec 2015,True,96 min,,Daddy's Home,movie,http://www.daddyshomemovie.com/,"Brian Burns (screenplay), Sean Anders (screenplay), John Morris (screenplay), Brian Burns (story)",2015,tt1528854,6.2,"95,457",,
26,"Tika Sumpter, Queen Latifah, Michael Kenneth Williams, Oliver Platt",Nominated for 1 Golden Globe. Another 23 wins & 45 nominations.,N/A,USA,01 Sep 2015,Dee Rees,,,"Biography, Drama, Music",English,N/A,"The story of legendary blues performer Bessie Smith, who rose to fame during the 1920s and '30s.",https://m.media-amazon.com/images/M/MV5BNTEyODcxNjI1OF5BMl5BanBnXkFtZTgwNDYyNTUxNTE@._V1_SX300.jpg,Zanuck Company,TV-MA,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",16 May 2015,True,115 min,,Bessie,movie,N/A,"Dee Rees (screenplay), Christopher Cleveland (screenplay), Bettina Gilois (screenplay), Dee Rees (story), Horton Foote (story)",2015,tt3704352,6.6,"3,524",,
27,"Alicia Vikander, Eddie Redmayne, Tusse Silberg, Adrian Schiller",Won 1 Oscar. Another 30 wins & 73 nominations.,N/A,"UK, USA, Germany, Denmark, Belgium, Japan",01 Mar 2016,Tom Hooper,,,"Biography, Drama, History, Romance","English, French, German",66,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,https://m.media-amazon.com/images/M/MV5BMjA0NjA4NjE2Nl5BMl5BanBnXkFtZTgwNzIxNTY2NjE@._V1_SX300.jpg,Focus Features,R,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",22 Jan 2016,True,119 min,,The Danish Girl,movie,https://www.workingtitlefilms.com/films/view/film/124,"David Ebershoff (book), Lucinda Coxon (screenplay)",2015,tt0810819,7.1,"144,427",,
28,"Liam Neeson, Ed Harris, Joel Kinnaman, Boyd Holbrook",N/A,N/A,USA,16 Jun 2015,Jaume Collet-Serra,,,"Action, Crime, Drama, Thriller",English,59,"Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",https://m.media-amazon.com/images/M/MV5BMTU2ODI3ODEyOV5BMl5BanBnXkFtZTgwMTM3NTQzNDE@._V1_SX300.jpg,Warner Bros.,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",13 Mar 2015,True,114 min,,Run All Night,movie,http://runallnightmovie.com/,Brad Ingelsby,2015,tt2199571,6.6,"92,953",,
29,"Antonio Banderas, Rodrigo Santoro, Juliette Binoche, James Brolin",7 wins & 5 nominations.,"$9,144,459","Chile, USA",16 Feb 2016,Patricia Riggen,,,"Biography, Drama, History","English, Spanish",55,"Based on the real-life event, when a gold and copper mine collapses, it traps 33 miners underground for 69 days.",https://m.media-amazon.com/images/M/MV5BMTkyNDY3NDc5NF5BMl5BanBnXkFtZTgwMzI1NDM1NjE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",13 Nov 2015,True,127 min,,The 33,movie,http://www.the33movie.com/,"Mikko Alanne (screenplay), Craig Borten (screenplay), Michael Thomas (screenplay), Jose Rivera (screen story), Hector Tobar (book)",2015,tt2006295,6.9,"31,901",,
30,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara",N/A,N/A,USA,29 Sep 2015,Doug Ellin,,,Comedy,English,38,"Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut.",https://m.media-amazon.com/images/M/MV5BMGY5ZmE4ZWItYzU0YS00ZDczLThiMzctMzQyYjJkNGYzNGQ2XkEyXkFqcGdeQXVyMzI2MTMxNTM@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",03 Jun 2015,True,104 min,,Entourage,movie,http://www.entouragemovie.com,"Doug Ellin (screenplay), Doug Ellin (story), Rob Weiss (story), Doug Ellin (based on characters created by)",2015,tt1674771,6.6,"71,045",,
31,"Aubrey Peeples, Stefanie Scott, Aurora Perrineau, Hayley Kiyoko",2 nominations.,N/A,USA,19 Jan 2016,Jon M. Chu,,,"Adventure, Drama, Family, Fantasy, Music, Romance, Sci-Fi",English,42,"As a small-town girl catapults from underground video sensation to global superstar, she and her three sisters begin a journey of discovering that some talents are too special to keep hidden.",https://m.media-amazon.com/images/M/MV5BMjIxMDI1MTI2M15BMl5BanBnXkFtZTgwODYzODc2NTE@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",23 Oct 2015,True,118 min,,Jem and the Holograms,movie,http://www.jemthemovie.com/,"Ryan Landels (screenplay by), Christy Marx (animated series)",2015,tt3614530,4.1,"6,566",,
