,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
13,J. Stuart Blackton,N/A,N/A,USA,N/A,J. Stuart Blackton,"Animation, Short, Comedy",English,N/A,A cartoonist defies reality when he draws objects that become three-dimensional after he lifts them off his sketch pad.,https://m.media-amazon.com/images/M/MV5BZGEzZTQ4YjctZThlZi00ODIxLWJjNzctYjliMzc1YTE2ZjFiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",16 Nov 1900,True,2 min,The Enchanted Drawing,movie,N/A,N/A,1900,tt0000300,7.0,869
14,Eva Bayley,N/A,N/A,UK,N/A,George Albert Smith,"Comedy, Short",N/A,N/A,"A picture true to life, and a most excellent subject. Poor old grandma is seated in her chair, vainly attempting to engage a thread in the eye of the needle. The facial contortions that are...",N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",01 Sep 1902,True,1 min,Grandma Threading Her Needle,movie,N/A,N/A,1900,tt0377995,7.4,7
15,"Sarah Bernhardt, Pierre Magnier, Suzanne Seylor",N/A,N/A,France,N/A,Clément Maurice,"Short, Drama",N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZTRjMTM4YjItYmFlZC00YWQ0LTg3NjQtMDQxZGRmNThmYTYwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",31 Oct 1908,True,2 min,Le duel d'Hamlet,movie,N/A,William Shakespeare (play),1900,tt0000306,5.6,127
16,"Laura Bayley, Tom Green",N/A,N/A,UK,N/A,George Albert Smith,"Short, Comedy",N/A,N/A,"A man dreams he is flirting with an attractive young lady, then he wakes up in bed next to his wife.",https://images-na.ssl-images-amazon.com/images/M/MV5BMWNhYjUzZDAtZjdhNi00ZjQyLWIzMDktM2U1NTczNWE2YmQ4XkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",01 Aug 1900,True,1 min,Let Me Dream Again,movie,N/A,N/A,1900,tt0000313,5.9,482
17,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy",N/A,N/A,"A doctor's monkey escapes from its cage, and causes mayhem about the office.",https://ia.media-imdb.com/images/M/MV5BNTI1MzVhZjQtNjczNy00MGVhLTg5ODMtMzA1YWZmMDNiZjUxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,True,1 min,The Doctor and the Monkey,movie,N/A,N/A,1900,tt0227438,5.1,204
18,N/A,N/A,N/A,USA,N/A,Albert E. Smith,"Short, Documentary",N/A,N/A,"This shows the heart of the tremendous drifts in the east end of Galveston. Hundreds of bodies are concealed in these immense masses, and at the time the picture was taken the odor given ...",N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",24 Sep 1900,True,1 min,"Searching Ruins on Broadway, Galveston, for Dead Bodies",movie,N/A,N/A,1900,tt0230746,4.9,131
19,"Cecil M. Hepworth, Henry Lawley",N/A,N/A,UK,N/A,Cecil M. Hepworth,"Short, Comedy",N/A,N/A,"This is altogether a remarkable picture and of very fine photographic value. It shows a picturesque country road, down which comes a two-seated automobile carrying four people. As the ...",N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",01 Jul 1902,True,1 min,The Delights of Automobiling,movie,N/A,N/A,1900,tt0257654,6.5,446
20,N/A,N/A,N/A,UK,N/A,George Albert Smith,"Short, Comedy",N/A,N/A,An elderly gentleman in a silk hat sits on a stool in front of a store on the main street of town. He has a telescope that he focuses on the ankle of a young woman who is a short distance ...,https://m.media-amazon.com/images/M/MV5BM2RiODQyMzAtNzI3Ni00NzNjLWIyNTktMTc3MDE5MmYzNThkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",01 Apr 1903,True,1 min,As Seen Through the Telescope,movie,N/A,N/A,1900,tt0000272,5.6,550
21,Anonymous,N/A,N/A,USA,N/A,Arthur Marvin,"Short, Comedy, Crime, Fantasy, Mystery",N/A,N/A,"Sherlock Holmes enters his drawing room to find it being burgled, but on confronting the villain is surprised when the latter disappears. Holmes initially attempts to ignore the event by ...",https://m.media-amazon.com/images/M/MV5BMGVlMTZmNmQtZGJhZS00MTY5LThjNjItMjVmYWE3ODlkNjc1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",01 May 1900,True,1 min,Sherlock Holmes Baffled,movie,N/A,Arthur Conan Doyle (character),1900,tt0291476,5.1,432
22,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy",N/A,N/A,A band-leader assembles an orchestra by mystifying means.,https://images-na.ssl-images-amazon.com/images/M/MV5BYTE0NjAxZTktYWY3Mi00MWFmLTliYmUtYTBlZGY3Y2I3MTYxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,True,2 min,The One-Man Band,movie,N/A,N/A,1900,tt0135453,7.1,"1,614"
23,Harold Smith,N/A,N/A,UK,N/A,George Albert Smith,Short,N/A,N/A,"A boy looks through glasses at various objects, seen magnified.",https://m.media-amazon.com/images/M/MV5BYjA3NGU2YzktZmI5Ni00NTVhLWJlY2EtYzA2MzNkY2JlNTUxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",01 Nov 1900,True,2 min,Grandma's Reading Glass,movie,N/A,N/A,1900,tt0000304,6.0,849
24,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy",N/A,N/A,A chemist carries out a bizarre experiment with his own head.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzg2MTRlMTYtNWRhYy00YmM0LWFlYjItYzg3MTc1ZDUxNTQ3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,True,3 min,The India Rubber Head,movie,N/A,N/A,1901,tt0000359,7.2,"1,801"
25,N/A,N/A,N/A,France,N/A,Ferdinand Zecca,"Comedy, Short",French,N/A,"A well-dressed middle-aged man is enjoying a drink at a table with a pretty young woman. He flirts with her, and she seems not to mind his attentions. But is it all too good to be true?",https://images-na.ssl-images-amazon.com/images/M/MV5BYzAxZWNlYzYtODYyNS00OGMwLWJlNGItODU2NWM2NGRkYjZiL2ltYWdlXkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,True,1 min,Rêve et réalité,movie,N/A,N/A,1901,tt0258104,5.1,340
26,"Georges Méliès, Jeanne d'Alcy, Bleuette Bernon",N/A,N/A,France,N/A,Georges Méliès,"Short, Fantasy, Horror",N/A,N/A,"A young woman becomes the eighth wife of the wealthy Bluebeard, whose first seven wives have died under mysterious circumstances.",https://images-na.ssl-images-amazon.com/images/M/MV5BYmUxNjRkNGMtNjk4Ni00ODIwLWE1ZjAtZjM1NWE2NjViMjE4XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",03 May 1902,True,12 min,Bluebeard,movie,N/A,"Georges Méliès (adaptation), Charles Perrault (fairy tale)",1901,tt0131934,7.1,"1,084"
27,"Victor André, Bleuette Bernon, Brunnet, Jehanne d'Alcy",1 win.,N/A,France,N/A,Georges Méliès,"Short, Action, Adventure, Comedy, Fantasy, Sci-Fi",French,N/A,A group of astronomers go on an expedition to the Moon.,https://m.media-amazon.com/images/M/MV5BOWExODUxMTYtM2M0Yy00YzU0LTliNDMtN2EyNGFjNzZhOTE3XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,N/A,TV-G,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",04 Oct 1902,True,13 min,A Trip to the Moon,movie,N/A,N/A,1902,tt0000417,8.2,"37,912"
28,J. Stuart Blackton,N/A,N/A,USA,N/A,N/A,"Comedy, Fantasy, Short",N/A,N/A,A comic picture that defies description. It depicts the Twentieth Century up-to-date tramp flying over the chimney tops of New York City in the latest improved flying machine. Weary Willie ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",01 Jan 1902,True,1 min,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship",movie,N/A,N/A,1902,tt0367177,5.3,47
29,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Fantasy",N/A,N/A,"Gulliver washes ashore on Lilliput, the inhabitants of which are no more than six inches tall. He later travels to Brobdingnag, a country populated by giants.",https://ia.media-imdb.com/images/M/MV5BMTg5MjgyOTY3OF5BMl5BanBnXkFtZTgwMTM1MzUwMzE@._V1_SX300.jpg,N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",13 Apr 1903,True,4 min,Gulliver's Travels,movie,N/A,Jonathan Swift (novel),1902,tt0229024,6.6,587
30,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy, Fantasy, Horror",N/A,N/A,"The setting of this fantastic scene represents the hall of an old chateau in which a miser has locked up seven large bags containing his wealth. Satan, who has made his way into the chateau...",https://m.media-amazon.com/images/M/MV5BNjBiMjM4ZjEtMjViNi00NmY0LTg5NGItZDExOWY1MzhkODk3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",01 Feb 1903,True,3 min,The Devil's Money Bags,movie,N/A,Georges Méliès,1902,tt0000413,5.5,282
31,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Fantasy",N/A,N/A,An Egyptian prince has lost his beloved wife and he has sought a dervish who dwells at the base of the sphinx. The prince promises him a vast fortune if the dervish will only give him the ...,https://images-na.ssl-images-amazon.com/images/M/MV5BYTlhYmEwMjUtNzZiNi00NzBkLWExNjMtYWU0YWQyNzBjMDU2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",15 Aug 1903,True,3 min,The Monster,movie,N/A,N/A,1903,tt0223755,6.4,834
32,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy, Music",French,N/A,The leader of a marching band demonstrates an unusual way of writing music.,http://ia.media-imdb.com/images/M/MV5BZDU1Mjk5YTEtOTcwYS00N2EyLTk0ODctZTExOTVmMzNjZjFlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",15 Aug 1903,True,3 min,The Music Lover,movie,N/A,N/A,1903,tt0000455,6.9,"1,167"
33,"A.C. Abadie, Gilbert M. 'Broncho Billy' Anderson, George Barnes, Justus D. Barnes",1 win.,N/A,USA,16 Dec 2003,Edwin S. Porter,"Short, Action, Crime, Western",English,N/A,"A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.",https://m.media-amazon.com/images/M/MV5BMTU3NjE5NzYtYTYyNS00MDVmLWIwYjgtMmYwYWIxZDYyNzU2XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,N/A,TV-G,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",01 Dec 1903,True,11 min,The Great Train Robbery,movie,N/A,N/A,1903,tt0000439,7.3,"14,863"
34,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Horror",N/A,N/A,"Two demons throw helpless captives into a boiling cauldron, and then try to summon forth their spirits.",https://images-na.ssl-images-amazon.com/images/M/MV5BM2IxYWVjMjItNGNhZC00ZTI5LTk5ZTAtZDEzOWMyZGVjMDE5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",17 Oct 1903,True,2 min,The Infernal Boiling Pot,movie,N/A,Georges Méliès,1903,tt0135180,6.8,890
35,N/A,N/A,N/A,France,N/A,Georges Méliès,"Fantasy, Drama, Short",N/A,N/A,"Denied a handout, a witch exacts vengeance by cursing the village well.",http://ia.media-imdb.com/images/M/MV5BYzEwNTYzNDAtZTQzNC00MGNjLTk0YjMtOWI2ZjQxODRlYzhjXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",27 Jun 1903,True,4 min,The Enchanted Well,movie,N/A,N/A,1903,tt0189498,6.1,229
36,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Fantasy",N/A,N/A,"The background of this picture represents a scene along the beautiful river Seine in Paris. A gentleman enters, and taking a blackboard from the side of the picture, he draws on it a sketch...",http://ia.media-imdb.com/images/M/MV5BZjlkNmM0NTEtMWM2OC00ZDRiLWJhMDEtYTg2NTQwZmNkNjEwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",05 Mar 1904,True,3 min,The Untamable Whiskers,movie,N/A,N/A,1904,tt0135631,6.4,729
37,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Adventure, Fantasy",French,N/A,"Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmQwMTNiNjEtMTM2My00MTQyLWExMzYtY2IzZDUwZWU0NmViXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",29 Oct 1904,True,24 min,The Voyage Across the Impossible,movie,N/A,"Georges Méliès, Jules Verne (play), Adolphe d'Ennery (play)",1904,tt0000499,7.7,"2,509"
38,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy, Fantasy",N/A,N/A,"With a brand-new deck of playing cards in his hand, an elegantly-attired thaumaturge, by fire and the pure power of illusion, transforms a plain nine of spades card into a full-size Queen of Hearts.",https://m.media-amazon.com/images/M/MV5BZDgzOTViZjgtYmU0NC00ZmI4LThjNTEtYmI1NWRjNzQ1MGExXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,True,3 min,The Living Playing Cards,movie,N/A,N/A,1905,tt0135179,6.7,"1,177"
39,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy, Fantasy",N/A,N/A,"A cook has his hands full with three mischievous devils, who pop in and out of his kitchen.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTE0YjdhNTctZTZkMy00NDViLThkZjMtZWQ0ZmUzOGQzMGE5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,True,4 min,The Cook in Trouble,movie,N/A,N/A,1904,tt0215664,6.1,631
40,N/A,N/A,N/A,France,N/A,Georges Méliès,Short,N/A,N/A,"A combination gambling den and bawdy house is set up so that croupiers, patrons, prostitutes, and the owner can quickly change it all into a mercantile establishment when the cops stage a ...",http://ia.media-imdb.com/images/M/MV5BMWY3MDdkOTAtNjgzNS00MGU0LWEwNWMtNjg1NWUwMTA1MzMwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,True,3 min,The Scheming Gambler's Paradise,movie,N/A,N/A,1905,tt0135690,6.1,548
41,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy",N/A,N/A,A traveler at an inn is harassed by a mischievous devil in his room.,https://images-na.ssl-images-amazon.com/images/M/MV5BN2ZiNTU3ZGEtOTQ3Ny00ZmVhLWFjMTAtNzE0OGNlY2FlZDk1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,True,4 min,The Black Imp,movie,N/A,N/A,1905,tt0215575,7.2,"1,501"
42,N/A,N/A,N/A,France,N/A,Alice Guy,"Short, Comedy",N/A,N/A,It's a society in which gender roles are switched. Will men stand to be unequal?,N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,True,7 min,The Consequences of Feminism,movie,N/A,N/A,1906,tt1260944,6.3,175
43,"Elizabeth Tait, John Tait, Norman Campbell, Bella Cola",N/A,N/A,Australia,N/A,Charles Tait,"Biography, Crime, Drama, History, Western",N/A,N/A,True story of notorious Australian outlaw Ned Kelly (1855-80).,https://m.media-amazon.com/images/M/MV5BNTY4ZDk5MzYtNjk2Zi00ZWY3LTgwZjUtNDc5MWEzMWFlOTQzXkEyXkFqcGdeQXVyNjU1MTEwMjI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",26 Dec 1906,True,70 min,The Story of the Kelly Gang,movie,N/A,Charles Tait,1906,tt0000574,6.2,496
44,N/A,N/A,N/A,France,N/A,Segundo de Chomón,Short,French,N/A,"A man tries to shave, but his mirror keeps playing tricks on him.",https://images-na.ssl-images-amazon.com/images/M/MV5BN2RlY2VmOTItMTlhNy00OWY3LTg3M2YtNmVjNDlhYjllNTc0XkEyXkFqcGdeQXVyMDgyNjA5MA@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",01 Apr 1906,True,2 min,A Funny Shave,movie,N/A,N/A,1906,tt0449172,5.7,151
45,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Fantasy, Mystery",N/A,N/A,"A wizard sleeps at a table in his well-appointed sitting room. From a drawer in the table, a snake appears. The snake begins a series of transformations: he becomes a jester, a spider, and ...",https://images-na.ssl-images-amazon.com/images/M/MV5BNjY3OGY0M2QtMTc2MS00MjFkLWFmMWUtYTAxNTE5YjE3OWY0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,True,3 min,The Mysterious Retort,movie,N/A,N/A,1906,tt0216016,5.9,437
