,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
10,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",Won 1 Oscar. Another 19 wins & 25 nominations.,"$2,925,880",USA,17 Dec 2002,Robert Zemeckis,,"Adventure, Comedy, Sci-Fi",English,87,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",03 Jul 1985,True,116 min,,Back to the Future,movie,http://www.bttfmovie.com/,"Robert Zemeckis, Bob Gale",1985,tt0088763,8.5,"917,426",,
11,"Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm",Nominated for 2 Oscars. Another 8 wins & 3 nominations.,N/A,"UK, USA",31 Mar 1998,Terry Gilliam,,"Drama, Sci-Fi",English,88,"A bureaucrat, in a retro-future world, tries to correct an administrative error and becomes an enemy of the state.",https://m.media-amazon.com/images/M/MV5BMjY5YWZlMzctMzdhNy00MTNiLWI1MjYtZDFhZTg1NmNmOTMxL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",18 Dec 1985,True,132 min,,Brazil,movie,N/A,"Terry Gilliam (screenplay by), Tom Stoppard (screenplay by), Charles McKeown (screenplay by)",1985,tt0088846,8.0,"173,385",,
12,"Mickey Rooney, Jackie Burroughs, Georgia Engel, Sunny Besen Thrasher",1 win & 2 nominations.,N/A,"Canada, USA",20 Jul 2004,Arna Selznick,,"Animation, Adventure, Comedy, Family, Fantasy, Musical",English,N/A,The Care Bears watch over a young brother and sister who have lost their trust in humanity. Meanwhile an evil wizard wishes to cover the Earth in concrete.,https://m.media-amazon.com/images/M/MV5BMGQzYTY4N2MtYzhhNC00ZGNlLThmMzgtODI3NTRiNmRjODliXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,MGM Home Entertainment,G,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",29 Mar 1985,True,77 min,,The Care Bears Movie,movie,N/A,Peter Sauder (screenplay),1985,tt0088885,5.6,"4,788",,
13,"Lori Cardille, Terry Alexander, Joseph Pilato, Jarlath Conroy",2 wins.,N/A,USA,10 Nov 1998,George A. Romero,,"Horror, Thriller",English,60,A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,https://m.media-amazon.com/images/M/MV5BNWVmMzlhZGYtMWRiOS00MGIwLTk5YTAtZGE4OTcyYjU3YzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,United Film Distribution Compa,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",19 Jul 1985,True,96 min,,Day of the Dead,movie,https://www.shoutfactory.com/,George A. Romero,1985,tt0088993,7.2,"57,284",,
14,"Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas",Won 2 Oscars. Another 11 wins & 25 nominations.,N/A,USA,29 Jun 1999,Peter Weir,,"Crime, Drama, Romance, Thriller","English, German",76,A young Amish boy is sole witness to a murder; policeman John Book goes into hiding in Amish country to protect him until the trial.,https://m.media-amazon.com/images/M/MV5BZWQzYmM5OGYtMDJlOC00M2RlLThhYzgtNjZiOWYxNjlhMDJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",08 Feb 1985,True,112 min,,Witness,movie,N/A,"William Kelley (story by), Pamela Wallace (story by), Earl W. Wallace (story by), Earl W. Wallace (screenplay by), William Kelley (screenplay by)",1985,tt0090329,7.4,"77,532",,
15,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow",1 win.,N/A,USA,06 Apr 2004,"Jerry Paris, James Signorelli",,Comedy,English,39,When a new gang moves into town it's up to the screwball police team to stop them.,https://m.media-amazon.com/images/M/MV5BMzdlYmZiMDctMWNiZS00YmY5LWEzMjYtMTY4ZDg3NTg2MjUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",29 Mar 1985,True,87 min,,Police Academy 2: Their First Assignment,movie,N/A,"Neal Israel (characters created by), Pat Proft (characters created by), Barry W. Blaustein, David Sheffield",1985,tt0089822,5.7,"46,309",,
16,"Ching-Ying Lam, Siu-Ho Chin, Ricky Hui, Moon Lee",1 win & 11 nominations.,N/A,Hong Kong,19 Oct 1999,Ricky Lau,,"Action, Comedy, Fantasy, Horror",Cantonese,N/A,"The planned reburial of a village elder goes awry as the corpse resurrects into a hopping, bloodthirsty vampire, threatening mankind. Therefore, a Taoist Priest and his two disciples attempt to stop the terror.",https://m.media-amazon.com/images/M/MV5BOWUyNGExOTYtZjlmNy00NWMwLThlYmMtMmUwMjkwNzdmYTgwXkEyXkFqcGdeQXVyMjc2NTQ1MTI@._V1_SX300.jpg,Tai Seng,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",28 Sep 1985,True,96 min,,Mr. Vampire,movie,N/A,"Ricky Lau, Cheuk-Hon Szeto, Barry Wong, Ying Wong (story)",1985,tt0089371,7.6,"2,976",,
17,"Sandrine Bonnaire, Setti Ramdane, Francis Balchère, Jean-Louis Perletti",8 wins & 5 nominations.,N/A,France,16 May 2000,Agnès Varda,,"Drama, Romance","French, Arabic, English",N/A,"A young woman's body is found frozen in a ditch. Through flashbacks and interviews, we see the events that led to her inevitable death.",https://m.media-amazon.com/images/M/MV5BMmI2Nzk1MGEtNDYwNC00MGNkLTk5OGYtZWEyMjA1Y2Q5NmVkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Pacific Arts Video,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",16 May 1986,True,105 min,,Vagabond,movie,N/A,Agnès Varda,1985,tt0089960,7.8,"6,233",,
18,"Mayumi Tanaka, Chika Sakamoto, Junko Hori, Ayumi Ishijo",1 win.,N/A,Japan,N/A,"Gisaburô Sugii, Arlen Tarlofsky",,"Animation, Adventure, Drama, Family, Fantasy, Mystery","Japanese, Esperanto, English",N/A,Two kittens go on a metaphysical journey on a magical railroad train.,https://m.media-amazon.com/images/M/MV5BNGU4OWNiOGYtZjE2MS00YTFjLWE3OGItMWNjYTRkMjNjYThkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",07 Feb 1986,True,113 min,,Kenji Miyazawa's Night on the Galactic Railroad,movie,N/A,"Kenji Miyazawa (novel), Hiroshi Masumura (idea), Minoru Betsuyaku (screenplay), Crispin Freeman (script adaptation)",1985,tt0089206,7.2,"1,316",,
19,"Coral Browne, Ian Holm, Peter Gallagher, Caris Corfman",Nominated for 2 BAFTA Film Awards. Another 6 wins & 5 nominations.,N/A,UK,N/A,Gavin Millar,,"Biography, Comedy, Drama",English,N/A,"Exploring the somewhat darker and more mysterious side of the Lewis Carroll's classic book, the movie follows Alice Liddell (the book's inspiration) as an old woman who is haunted by the ...",https://m.media-amazon.com/images/M/MV5BZjNlYjgwYmItOTU4Ny00MmFkLTljYjktNTRhMTM1N2UxOTYwXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,HBO Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",04 Oct 1985,True,94 min,,Dreamchild,movie,N/A,Dennis Potter,1985,tt0089052,7.0,"1,297",,
20,"Luis Brandoni, China Zorrilla, Antonio Gasalla, Julio De Grazia",N/A,N/A,Argentina,N/A,Alejandro Doria,,Comedy,Spanish,N/A,Each member of this family tries to endorse someone else to care for the old Mother.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1Njk4MjczNV5BMl5BanBnXkFtZTgwMTU5Njc2MTE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",06 May 1985,True,94 min,,Waiting for the Hearse,movie,N/A,"Alejandro Doria, Jacobo Langsner (play), Jacobo Langsner (screenplay)",1985,tt0089108,8.3,"4,021",,
21,"Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones",Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,N/A,UK,17 Oct 2000,John Glen,,"Action, Adventure, Thriller","English, French",40,An investigation of a horse-racing scam leads 007 to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.,https://m.media-amazon.com/images/M/MV5BMTZjNzJhOWYtMjZiNS00NmU2LTllYjAtOTAzMDk1NTI0ZTFkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MGM/UA Entertainment Company,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",24 May 1985,True,131 min,,A View to a Kill,movie,N/A,"Richard Maibaum (screenplay), Michael G. Wilson (screenplay)",1985,tt0090264,6.3,"79,264",,
22,"Bruno Lawrence, Alison Routledge, Pete Smith, Anzac Wallace",10 wins.,N/A,New Zealand,13 Jun 2006,Geoff Murphy,,"Drama, Mystery, Sci-Fi",English,N/A,"A man named Zac Hobson awakens to find himself alone in the world. In a desperate attempt to search for others, he finds only two who have their own agenda.",https://m.media-amazon.com/images/M/MV5BMWNlY2UxYWUtZTIwMS00NmFjLTg3M2EtM2Q3MWRmZjIwYWZiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Anchor Bay Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",18 Oct 1985,True,91 min,,The Quiet Earth,movie,N/A,"Craig Harrison (novel), Bill Baer, Bruno Lawrence, Sam Pillsbury",1985,tt0089869,6.8,"22,748",,
23,"Eileen Brennan, Tim Curry, Madeline Kahn, Christopher Lloyd",N/A,N/A,USA,27 Jun 2000,Jonathan Lynn,,"Comedy, Crime, Mystery, Thriller","English, French",36,Six guests are invited to a strange house and must cooperate with the staff to solve a murder mystery.,https://m.media-amazon.com/images/M/MV5BM2VlNTE1ZmMtOTAyNS00ODYwLWFmY2MtZWEzOTE2YjE1NDE2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Paramount Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",13 Dec 1985,True,94 min,,Clue,movie,N/A,"John Landis (story), Jonathan Lynn (story), Jonathan Lynn (screenplay)",1985,tt0088930,7.3,"68,040",,
24,"John Cusack, Daphne Zuniga, Anthony Edwards, Boyd Gaines",N/A,N/A,USA,05 Aug 2003,Rob Reiner,,"Comedy, Drama, Romance",English,76,"A college student plans a cross-country trip to get laid, but ends up traveling with a young woman. They hate each other, so naturally...",https://m.media-amazon.com/images/M/MV5BNGYxYTI4MTktN2Q0OS00NjRlLTlkZDUtOTRjY2VjYjRlYjZlXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,Embassy,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",01 Mar 1985,True,100 min,,The Sure Thing,movie,N/A,"Steve Bloom, Jonathan Roberts",1985,tt0090103,7.0,"17,620",,
25,"Jeffrey Combs, Bruce Abbott, Barbara Crampton, David Gale",4 wins & 2 nominations.,N/A,USA,10 Dec 1997,Stuart Gordon,,"Comedy, Horror, Sci-Fi","English, German",73,"After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue.",https://m.media-amazon.com/images/M/MV5BNTA5YjI0MTEtMWRmZS00OGViLWEwYWYtYWY3OWY4YWNmNzExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Empire Pictures,Unrated,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",18 Oct 1985,True,105 min,,Re-Animator,movie,N/A,"H.P. Lovecraft (story ""Herbert West,  Re-Animator""), Dennis Paoli (screenplay), William Norris (screenplay), Stuart Gordon (screenplay)",1985,tt0089885,7.2,"48,767",,
26,"Kevin Costner, Judd Nelson, Sam Robards, Chuck Bush",N/A,N/A,USA,15 Feb 2005,Kevin Reynolds,,"Comedy, Drama",English,N/A,"Five college buddies from the University of Texas circa 1971 embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures, in Vietnam and otherwise.",https://m.media-amazon.com/images/M/MV5BYzUwY2Q1NGEtNmU2Zi00YzViLWI2ZGUtNGY1ZmY1OWJlNjAzL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Warner Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",25 Jan 1985,True,91 min,,Fandango,movie,N/A,Kevin Reynolds,1985,tt0089126,6.7,"6,809",,
27,"Mark Stewart, Sean Daniel, Bruce Davison, William Prince",N/A,N/A,USA,10 Nov 1998,John Landis,,"Adventure, Comedy","English, Russian",22,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.",https://m.media-amazon.com/images/M/MV5BYWE0NmZiNDktODFjMi00NzA4LWI2ZTEtN2M2OWU5ZDQ5YzBhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",06 Dec 1985,True,102 min,,Spies Like Us,movie,N/A,"Dan Aykroyd (story), Dave Thomas (story), Dan Aykroyd (screenplay), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",1985,tt0090056,6.4,"40,455",,
28,"Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman",Nominated for 1 Oscar. Another 14 wins & 14 nominations.,N/A,USA,06 Nov 2001,Woody Allen,,"Comedy, Fantasy, Romance",English,75,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",https://m.media-amazon.com/images/M/MV5BY2E1YWRlNzAtYzAwYy00MDg5LTlmYTUtYjdlZDI0NzFkNjNlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Orion Pictures Corporation,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",19 Apr 1985,True,82 min,,The Purple Rose of Cairo,movie,N/A,Woody Allen,1985,tt0089853,7.7,"42,644",,
29,"Helen Slater, Keith Gordon, Christian Slater, Richard Bradford",N/A,N/A,USA,22 Jul 2014,Matthew Robbins,,"Action, Drama",English,45,A Texas teenager cuts her hair short and becomes an outlaw martyr with her brother and friends.,https://m.media-amazon.com/images/M/MV5BNjIwOTgzN2QtZTY2Mi00MmU1LWFjMTItN2EwZTFhYTMwZGRjXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,TriStar Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",19 Jul 1985,True,96 min,,The Legend of Billie Jean,movie,N/A,"Mark Rosenthal, Lawrence Konner",1985,tt0089470,6.6,"7,880",,
30,"Héctor Alterio, Norma Aleandro, Chunchuna Villafañe, Hugo Arana",Won 1 Oscar. Another 24 wins & 8 nominations.,N/A,Argentina,05 Jul 2000,Luis Puenzo,,"Drama, History, War","Spanish, English",N/A,"During the final months of Argentinian Military Dictatorship in 1983, a high school teacher sets out to find out who the mother of her adopted daughter is.",https://m.media-amazon.com/images/M/MV5BMTAzODQzNTU5NjBeQTJeQWpwZ15BbWU4MDk0NjM5MzMy._V1_SX300.jpg,Koch Lorber Films,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",08 Nov 1985,True,112 min,,The Official Story,movie,N/A,"Aída Bortnik, Luis Puenzo",1985,tt0089276,7.8,"6,578",,
31,"Daniel Day-Lewis, Richard Graham, Winston Graham, Dudley Thomas",Nominated for 1 Oscar. Another 5 wins & 6 nominations.,N/A,UK,03 Jun 2003,Stephen Frears,,"Comedy, Drama, Romance","English, Urdu",75,An ambitious Pakistani Briton and his white boyfriend strive for success and hope when they open a glamorous laundromat.,https://m.media-amazon.com/images/M/MV5BMjI1NjE2ODAwOF5BMl5BanBnXkFtZTcwODU2NjE2NA@@._V1_SX300.jpg,Orion Classics,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",04 Apr 1986,True,97 min,,My Beautiful Laundrette,movie,N/A,Hanif Kureishi (by),1985,tt0091578,6.9,"12,695",,
