,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
16,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk",Nominated for 6 Oscars. Another 28 wins & 157 nominations.,"$11,348,612",USA,25 Feb 2014,Alexander Payne,,,"Adventure, Comedy, Drama","English, Spanish",86,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",https://m.media-amazon.com/images/M/MV5BMTU2Mjk2NDkyMl5BMl5BanBnXkFtZTgwNTk0NzcyMDE@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",24 Jan 2014,True,115 min,,Nebraska,movie,http://NebraskaMovie.com,Bob Nelson,2013,tt1821549,7.7,"104,374",,
17,"Emma Thompson, Pierce Brosnan, Celia Imrie, Timothy Spall",1 nomination.,"$1,105,254","France, UK",26 Aug 2014,Joel Hopkins,,,Comedy,"English, French",44,A divorced couple scheme to recover the retirement money that was stolen from them.,https://m.media-amazon.com/images/M/MV5BMTcyNjAyOTMxMV5BMl5BanBnXkFtZTgwMTM5NDc3MTE@._V1_SX300.jpg,Ketchup Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",23 May 2014,True,94 min,,The Love Punch,movie,https://www.facebook.com/LovePunchUK,"Joel Hopkins, Tess Morris (additional writing by)",2013,tt2234261,5.7,"11,704",,
18,"Antonio Banderas, Penélope Cruz, Coté Soler, Antonio de la Torre",3 wins & 9 nominations.,"$1,367,846",Spain,03 Sep 2013,Pedro Almodóvar,,,Comedy,Spanish,55,"When it appears as though the end is in sight, the pilots, flight crew, and passengers of a plane heading to Mexico City look to forget the anguish of the moment and face the greatest danger, which we carry within ourselves.",https://m.media-amazon.com/images/M/MV5BMTYxODgwNDQyOF5BMl5BanBnXkFtZTcwMzM2NjkwOQ@@._V1_SX300.jpg,Sony Pictures Classics,R,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",08 Mar 2013,True,90 min,,I'm So Excited!,movie,http://www.sonyclassics.com/imsoexcited/,Pedro Almodóvar,2013,tt2243389,5.6,"19,985",,
19,"Andy Garcia, Vera Farmiga, Taissa Farmiga, Spencer Rocco Lofranco",3 wins & 1 nomination.,"$52,926",USA,01 Apr 2014,Adam Rodgers,,,"Comedy, Romance",English,60,Two parents fall in love over the course of a single day while playing hooky from their children's college tour.,https://m.media-amazon.com/images/M/MV5BODM2OTg0OTE2Ml5BMl5BanBnXkFtZTgwMDk4NzEwMTE@._V1_SX300.jpg,Anchor Bay and Freestyle Releasing,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",05 Sep 2013,True,99 min,,At Middleton,movie,http://Facebook.com/AtMiddleton,"Glenn German, Adam Rodgers",2013,tt1483324,6.5,"7,028",,
20,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke",3 wins & 9 nominations.,"$73,103,784",USA,05 Nov 2013,Roland Emmerich,,,"Action, Drama, Thriller",English,52,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",https://m.media-amazon.com/images/M/MV5BMTAyNzQyNTcwNjVeQTJeQWpwZ15BbWU3MDAwOTQ4Nzk@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",28 Jun 2013,True,131 min,,White House Down,movie,http://www.whitehousedown.com/,James Vanderbilt,2013,tt2334879,6.4,"190,056",,
21,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara",Nominated for 2 Golden Globes. Another 6 wins & 63 nominations.,"$22,442,876","UK, Germany, USA",28 Jan 2014,Ron Howard,,,"Action, Biography, Drama, Sport","English, German, Italian, French, Spanish",75,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",27 Sep 2013,True,123 min,,Rush,movie,http://www.rushmovie.com/,Peter Morgan,2013,tt1979320,8.1,"387,183",,
22,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",5 wins & 31 nominations.,"$234,903,076",USA,11 Jun 2013,Sam Raimi,,,"Adventure, Family, Fantasy",English,44,"A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.",https://m.media-amazon.com/images/M/MV5BMjMyMzQ1ODM1MF5BMl5BanBnXkFtZTcwMjE2MTQxOQ@@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",08 Mar 2013,True,130 min,,Oz the Great and Powerful,movie,http://disney.go.com/thewizard/,"Mitchell Kapner (screenplay), David Lindsay-Abaire (screenplay), Mitchell Kapner (screen story), L. Frank Baum (""Oz"" works)",2013,tt1623205,6.3,"190,751",,
23,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi",Nominated for 1 BAFTA Film Award. Another 6 wins & 47 nominations.,"$101,785,482",USA,15 Oct 2013,Guillermo del Toro,,,"Action, Adventure, Sci-Fi","English, Japanese, Cantonese, Mandarin",65,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",https://m.media-amazon.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",12 Jul 2013,True,131 min,,Pacific Rim,movie,http://pacificrimmovie.com,"Travis Beacham (screenplay), Guillermo del Toro (screenplay), Travis Beacham (story)",2013,tt1663662,6.9,"439,030",,
24,"Steve Bacic, Tara Westwood, Alix Elizabeth Gitter, James Cavlo",N/A,N/A,USA,28 May 2013,Brett Donowho,,,"Horror, Thriller",English,N/A,"A small town is haunted by the twin daughters of a wrongfully convicted man. Young Jordan is sent down the path to who the real killer is, only to find the killer is very close to her.",https://m.media-amazon.com/images/M/MV5BMTQ4NzcyODQ4OV5BMl5BanBnXkFtZTcwOTkxMzcyOQ@@._V1_SX300.jpg,Inception Media Group,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",28 May 2013,True,96 min,,A Haunting at Silver Falls,movie,N/A,"Cam Cannon, Rachel Long, Brian Pittman",2013,tt1813609,4.8,"2,529",,
25,"Colin Farrell, Noomi Rapace, Terrence Howard, Dominic Cooper",N/A,"$10,880,926",USA,09 Jul 2013,Niels Arden Oplev,,,"Action, Crime, Drama, Thriller","English, French, Albanian, Spanish, Hungarian",39,"In New York City, a crime lord's right-hand man is helped by a woman seeking retribution.",https://m.media-amazon.com/images/M/MV5BMTM2NTU5NTIzMF5BMl5BanBnXkFtZTcwNjQ3MTM5OA@@._V1_SX300.jpg,FilmDistrict,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",08 Mar 2013,True,118 min,,Dead Man Down,movie,http://blooddemandsblood.com/,J.H. Wyman,2013,tt2101341,6.5,"60,929",,
26,"Vinicius Garcia, Felipe Zilse, Alê Abreu, Lu Horta",Nominated for 1 Oscar. Another 13 wins & 7 nominations.,"$47,618",Brazil,05 Jul 2016,Alê Abreu,,,"Animation, Adventure, Family",Portuguese,80,A little boy goes on an adventurous quest in search of his father.,https://m.media-amazon.com/images/M/MV5BMTY4MTAwODg1NF5BMl5BanBnXkFtZTgwMTUyMDQyNzE@._V1_SX300.jpg,GKIDS,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",17 Jan 2014,True,80 min,,Boy and the World,movie,http://www.gkidsfilms.com/boy/,Alê Abreu,2013,tt3183630,7.6,"5,483",,
27,"Peter Capaldi, David Thewlis, Anatole Taubman, Alexander Beyer",2 wins & 3 nominations.,"$3,254,172","USA, India, Belgium",28 Jan 2014,Bill Condon,,,"Biography, Drama, Thriller","English, Icelandic, Swahili, Arabic",49,A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.,https://m.media-amazon.com/images/M/MV5BMjY1MTY5NTg3M15BMl5BanBnXkFtZTgwMDQyMjgwMDE@._V1_SX300.jpg,Walt Disney Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",18 Oct 2013,True,128 min,,The Fifth Estate,movie,http://www.facebook.com/TheFifthEstateMovie,"Daniel Domscheit-Berg (book), David Leigh (book), Luke Harding (book), Josh Singer (screenplay by)",2013,tt1837703,6.2,"35,900",,
28,"Matthew Marsden, Kristanna Loken, Christian Pitre, Barak Hardley",N/A,N/A,USA,29 Oct 2013,Henry Saine,,,"Action, Sci-Fi, Thriller",English,48,"Bounty killers compete for body count, fame and a fat stack of cash. They're ending the plague of corporate greed and providing the survivors of the apocalypse with retribution. This is the age of the BOUNTY KILLER.",https://m.media-amazon.com/images/M/MV5BMjE0NjE4NTQyMV5BMl5BanBnXkFtZTgwOTQ3NzgwMDE@._V1_SX300.jpg,Arc Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",06 Sep 2013,True,92 min,,Bounty Killer,movie,http://https://www.facebook.com/bountykillermovie,"Jason Dodson (story), Jason Dodson, Colin Ebeling, Henry Saine",2013,tt2369396,5.5,"6,408",,
29,"Keri Russell, JJ Feild, Bret McKenzie, Jennifer Coolidge",1 nomination.,"$2,155,334","UK, USA",11 Feb 2014,Jerusha Hess,,,"Comedy, Romance",English,42,"Obsessed with Pride and Prejudice (1995), a woman travels to a Jane Austen theme park in search for her perfect gentleman.",https://m.media-amazon.com/images/M/MV5BMjE2MTUzMjgyNF5BMl5BanBnXkFtZTcwNjY4NDM4OQ@@._V1_SX300.jpg,Sony Pictures Classics,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",27 Sep 2013,True,97 min,,Austenland,movie,http://www.austenlandmovie.com/,"Jerusha Hess (screenplay), Shannon Hale (screenplay), Shannon Hale (based on the novel by)",2013,tt1985019,6.3,"17,664",,
30,"Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm, Gordon Brown",14 wins & 19 nominations.,"$700,000","Denmark, France, USA, Sweden",22 Oct 2013,Nicolas Winding Refn,,,"Crime, Drama","English, Thai",37,"Julian, a drug-smuggler thriving in Bangkok's criminal underworld, sees his life get even more complicated when his mother compels him to find and kill whoever is responsible for his brother's recent death.",https://m.media-amazon.com/images/M/MV5BMzE5NzcxMTk5NF5BMl5BanBnXkFtZTcwNjE2MDg2OQ@@._V1_SX300.jpg,Radius-TWC,R,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",22 May 2013,True,90 min,,Only God Forgives,movie,https://www.facebook.com/onlygodforgivesfilm,Nicolas Winding Refn,2013,tt1602613,5.7,"99,202",,
31,"Bill Hader, Anna Faris, James Caan, Will Forte",16 nominations.,"$119,793,567",USA,28 Jan 2014,"Cody Cameron, Kris Pearn",,,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,59,"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.",https://m.media-amazon.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_SX300.jpg,Sony Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",27 Sep 2013,True,95 min,,Cloudy with a Chance of Meatballs 2,movie,http://www.cloudy-movie.com/site/,"Erica Rivinoja (screenplay by), John Francis Daley (screenplay), Jonathan Goldstein (screenplay by), Phil Lord (story by), Christopher Miller (story by), Erica Rivinoja (story by), Judi Barrett (inspired by the book ""Cloudy with a Chance of Meatballs"" written by), Ron Barrett (inspired by the book ""Cloudy with a Chance of Meatballs"" illustrated by)",2013,tt1985966,6.4,"79,523",,
